latitude,longitude,time,weather,road_type,severity
28.58727005942368,77.33889463107857,2023-01-01 00:00:00,Rain,Highway,4
28.875357153204956,77.19780681748774,2023-01-01 00:01:00,Snow,Highway,2
28.7659969709057,77.07818624425288,2023-01-01 00:02:00,Rain,Highway,2
28.699329242098518,77.29465671464403,2023-01-01 00:03:00,Fog,Highway,4
28.47800932022122,77.16747125427332,2023-01-01 00:04:00,Clear,Highway,1
28.4779972601681,77.237850993381,2023-01-01 00:05:00,Clear,Rural,3
28.429041806084097,77.04290611606957,2023-01-01 00:06:00,Rain,Rural,4
28.833088072887467,77.2526335958064,2023-01-01 00:07:00,Rain,Urban,4
28.700557505871604,77.14942019557805,2023-01-01 00:08:00,Fog,Rural,4
28.75403628889802,77.1336758998874,2023-01-01 00:09:00,Rain,Urban,3
28.4102922471479,77.39196623151112,2023-01-01 00:10:00,Rain,Rural,4
28.884954926080997,77.1729722571041,2023-01-01 00:11:00,Clear,Highway,3
28.81622132040021,77.2712153512463,2023-01-01 00:12:00,Rain,Urban,3
28.506169555339138,77.25109101422954,2023-01-01 00:13:00,Snow,Rural,3
28.490912483603548,77.04172142035407,2023-01-01 00:14:00,Clear,Urban,3
28.491702254926714,77.29917101482573,2023-01-01 00:15:00,Rain,Urban,3
28.552121121479768,77.12926368137343,2023-01-01 00:16:00,Snow,Highway,3
28.66237821581612,77.3195758196787,2023-01-01 00:17:00,Fog,Highway,1
28.615972509321058,77.24305631304615,2023-01-01 00:18:00,Rain,Urban,4
28.54561457009902,77.1268365959814,2023-01-01 00:19:00,Rain,Rural,1
28.70592644736119,77.14251718413243,2023-01-01 00:20:00,Fog,Rural,2
28.469746930326018,77.29260294786656,2023-01-01 00:21:00,Snow,Urban,1
28.54607232426761,77.22002372604915,2023-01-01 00:22:00,Snow,Rural,3
28.583180921646843,77.26734041626852,2023-01-01 00:23:00,Snow,Urban,3
28.628034992108518,77.06332732843008,2023-01-01 00:24:00,Snow,Highway,3
28.792587980696506,77.31479066889138,2023-01-01 00:25:00,Fog,Rural,4
28.499836891079177,77.12815652756602,2023-01-01 00:26:00,Snow,Urban,1
